timestamp,cash,position_value,total_equity
2020-01-01 00:00:00,10000.0,0.0,10000.0
2020-01-01 04:00:00,10000.0,0.0,10000.0
2020-01-01 08:00:00,10000.0,0.0,10000.0
2020-01-01 12:00:00,10000.0,0.0,10000.0
2020-01-01 16:00:00,10000.0,0.0,10000.0
2020-01-01 20:00:00,10000.0,0.0,10000.0
2020-01-02 00:00:00,10000.0,0.0,10000.0
2020-01-02 04:00:00,0.0,9988.012387532484,9988.012387532484
2020-01-02 08:00:00,0.0,10029.05687791282,10029.05687791282
2020-01-02 12:00:00,10004.66371053508,0.0,10004.66371053508
2020-01-02 16:00:00,10004.66371053508,0.0,10004.66371053508
2020-01-02 20:00:00,0.0,9992.67050739211,9992.67050739211
2020-01-03 00:00:00,0.0,9973.060186859664,9973.060186859664
2020-01-03 04:00:00,10320.97853003672,0.0,10320.97853003672
2020-01-03 08:00:00,0.0,10308.606140946358,10308.606140946358
2020-01-03 12:00:00,0.0,10280.12583691386,10280.12583691386
2020-01-03 16:00:00,10299.912868859246,0.0,10299.912868859246
2020-01-03 20:00:00,0.0,10287.56573246714,10287.56573246714
2020-01-04 00:00:00,0.0,10270.968275989535,10270.968275989535
2020-01-04 04:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-04 08:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-04 12:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-04 16:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-04 20:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-05 00:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-05 04:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-05 08:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-05 12:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-05 16:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-05 20:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-06 00:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-06 04:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-06 08:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-06 12:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-06 16:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-06 20:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-07 00:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-07 04:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-07 08:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-07 12:00:00,10279.62939970684,0.0,10279.62939970684
2020-01-07 16:00:00,0.0,10267.306578351503,10267.306578351503
2020-01-07 20:00:00,0.0,10358.34753706359,10358.34753706359
2020-01-08 00:00:00,10542.87270955409,0.0,10542.87270955409
2020-01-08 04:00:00,0.0,10530.234322320443,10530.234322320443
2020-01-08 08:00:00,0.0,10574.920104191673,10574.920104191673
2020-01-08 12:00:00,10528.640936221957,0.0,10528.640936221957
