name,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,win_rate_pct,alpha_vs_bh_pct
wf_tree60_btc_cooldown_on,78.75,-28.10,1.31,5,40.00,-40.46
wf_tree60_btc_cooldown_off,26.66,-20.14,0.77,2,50.00,-92.55
