name,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,win_rate_pct,alpha_vs_bh_pct
wf_tree60_eth_legacy_like,36.08,-37.48,0.73,9,33.33,-11.58
wf_tree60_eth_improved,10.21,-21.25,0.41,5,60.00,-37.45
