trial,btc_w,eth_w,sol_w,bnb_w,bnb_overlay_boost,strat_return_pct,strat_cagr_pct,strat_mdd_pct,strat_sharpe,matched_bnh_return_pct,ew_bnh_return_pct,alpha_vs_matched_bnh_pctp,alpha_vs_ew_bnh_pctp
96,0.15,0.050000000000000044,0.1,0.7,0.15,2650.5887621018733,93.3554113985118,42.567017396958676,1.226049627038753,2711.679947623951,2085.500075777672,-61.09118552207792,565.0886863242013
48,0.1,0.10000000000000009,0.1,0.7,0.15,2633.756020797261,93.11943411951096,42.96529892272194,1.2229159200513624,2768.463226248596,2085.500075777672,-134.70720545133508,548.255945019589
128,0.2,0.050000000000000044,0.05,0.7,0.15,2481.193423580501,90.92580367360776,42.60060208319663,1.2063329170659638,2482.3921390819182,2085.500075777672,-1.1987155014171549,395.69334780282907
80,0.15,0.10000000000000009,0.05,0.7,0.15,2466.3495212644607,90.70687010143669,42.9936042767413,1.2035596629594305,2538.631558053345,2085.500075777672,-72.2820367888844,380.8494454867887
32,0.1,0.15000000000000002,0.05,0.7,0.15,2447.1321025016214,90.4219194715143,43.40520400861912,1.1993292752357607,2588.713462539452,2085.500075777672,-141.58136003783056,361.63202672394937
95,0.15,0.050000000000000044,0.1,0.7,0.1,2316.0499194185536,88.43093175083521,43.19792941269506,1.2132307675001741,2388.094044518109,2085.500075777672,-72.04412509955546,230.5498436408816
156,0.25,0.050000000000000044,0.0,0.7,0.15,2315.910708345045,88.42877178120139,42.654095627996305,1.184477832904278,2254.2562006319554,2085.500075777672,61.654507713089515,230.4106325673729
112,0.2,0.10000000000000009,0.0,0.7,0.15,2302.9097869132174,88.2266113648056,43.041672907097436,1.182065146740034,2309.2463212154757,2085.500075777672,-6.336534302258315,217.40971113554542
47,0.1,0.10000000000000009,0.1,0.7,0.1,2302.1774568293836,88.21519780810341,43.588720014430855,1.2102140709053975,2439.248558284598,2085.500075777672,-137.07110145521438,216.67738105171156
64,0.15,0.15000000000000002,0.0,0.7,0.15,2285.8017630074414,87.95924734716093,43.44791380610017,1.1782214577219186,2358.768016579197,2085.500075777672,-72.96625357175571,200.3016872297694
16,0.1,0.20000000000000007,0.0,0.7,0.15,2257.867723323869,87.51937474920265,43.53301991235016,1.1741310929380935,2352.402493324379,2085.500075777672,-94.53477000050998,172.36764754619708
127,0.2,0.050000000000000044,0.05,0.7,0.1,2167.2571956121496,86.06320258266051,43.23114516489649,1.192867107534957,2185.1941264829334,2085.500075777672,-17.936930870783726,81.75711983447763
79,0.15,0.10000000000000009,0.05,0.7,0.1,2155.075771000404,85.86390045702719,43.61671597514436,1.1902279847128523,2235.794762268477,2085.500075777672,-80.71899126807284,69.57569522273207
31,0.1,0.15000000000000002,0.05,0.7,0.1,2139.038942739149,85.60020023739587,44.02072267758787,1.1860483959835089,2280.9767203556003,2085.500075777672,-141.93777761645106,53.5388669614772
94,0.15,0.050000000000000044,0.1,0.7,0.05,2112.6126811646036,85.162342671091,45.03994848971145,1.2067233766269463,2428.4311940758157,2085.500075777672,-315.8185129112121,27.11260538693159
46,0.1,0.10000000000000009,0.1,0.7,0.05,2100.075010723996,84.95313886553548,45.41653712974351,1.203610072871736,2480.151344987004,2085.500075777672,-380.076334263008,14.574934946323992
180,0.25,0.050000000000000044,0.1,0.6,0.15,2025.4386900661902,83.68760197800115,41.936841427290794,1.2137246363332728,2311.3458093687477,2085.500075777672,-285.9071193025575,-60.06138571148176
155,0.25,0.050000000000000044,0.0,0.7,0.1,2022.076899550457,83.62976644195716,43.28405107313884,1.1702492505370625,1983.3135140478166,2085.500075777672,38.7633855026404,-63.42317622721498
140,0.2,0.09999999999999998,0.1,0.6,0.15,2015.4791292070374,83.51604608741235,42.31940836414815,1.2114385857132544,2365.6117849713696,2085.500075777672,-350.1326557643322,-70.02094657063458
111,0.2,0.10000000000000009,0.0,0.7,0.1,2011.4597195232677,83.44662748365353,43.66425918856239,1.1679865112019459,2032.7361605048693,2085.500075777672,-21.27644098160158,-74.04035625440429
