asset,strategy,position_pct,return_pct,mdd_pct,sharpe,trades,bh_return_pct,alpha_vs_bh_pct
BTC,mlp_direction_btc,80.0,40.06810143135253,-15.44978289344012,1.3378623747136795,19,119.20854211704142,-79.14044068568889
BTC,wf_tree60_btc,80.0,-6.339221225844422,-16.68983186220878,-0.24369294323237864,7,119.20854211704142,-125.54776334288584
ETH,mlp_direction_eth,80.0,7.6565894707905136,-30.83358322170361,0.32032180197071636,17,47.65884891390804,-40.002259443117524
ETH,wf_tree60_eth,80.0,3.064015945299053,-19.23991221713536,0.21809007658854107,7,47.65884891390804,-44.59483296860898
