trial,entry_quorum,drop_1d_pct,drop_3d_pct,peak_dd_exit_pct,cooldown_days,mean_return_pct,mean_alpha_vs_bnh_pctp,mean_mdd_pct,max_symbol_mdd_pct,total_trades,mean_win_rate_pct,beating_symbols
153,3,-0.07,-0.1,0.15,5,1002.9113871543872,-889.8776621805875,52.96911394801533,65.89297951742597,209,37.13852813852814,1
72,2,-0.07,-0.1,0.15,5,957.5887903745324,-935.2002589604422,54.72747295074795,68.0892628939353,236,37.72904483430799,1
150,3,-0.07,-0.1,0.12,5,880.7733361964313,-1012.0157131385431,51.05463622569526,63.34331712133483,214,37.391304347826086,1
162,3,-0.07,-0.12,0.15,5,865.0107467030072,-1027.7783026319673,54.65575016526918,67.32254808334268,205,35.601656095842145,1
63,2,-0.07,-0.08,0.15,5,841.8989547154076,-1050.890094619567,52.817966025745264,60.59825101176492,249,38.2747300322788,0
144,3,-0.07,-0.08,0.15,5,829.9119345495671,-1062.8771147854075,51.38765120713397,57.473463107433496,221,38.1151802166496,1
69,2,-0.07,-0.1,0.12,5,819.5070387701845,-1073.28201056479,55.62492389649752,66.03679671412502,242,37.613789719052875,1
81,2,-0.07,-0.12,0.15,5,792.0996316509177,-1100.689417684057,57.4293350565889,70.18217768929246,232,36.746105646375185,1
159,3,-0.07,-0.12,0.12,5,786.8938146670556,-1105.895234667919,52.88090259006361,63.62639470278616,213,36.6055900621118,1
70,2,-0.07,-0.1,0.15,1,767.5373686612966,-1125.251680673678,53.91876058505617,69.91071917413785,308,37.53329253329253,0
79,2,-0.07,-0.12,0.15,1,727.3296340217328,-1165.4594153132418,54.09637716309979,69.91071917413784,298,37.497100214656314,0
234,4,-0.07,-0.1,0.15,5,721.3521021571512,-1171.4369471778234,60.28030163005843,71.51926202635495,184,34.843379355207745,1
71,2,-0.07,-0.1,0.15,3,713.9645348857314,-1178.8245144492432,55.648747041446576,74.21296790872479,260,35.84271232439336,1
78,2,-0.07,-0.12,0.12,5,712.4952088460593,-1180.2938404889153,57.91061208323283,67.13175496448703,241,36.905832958464536,1
80,2,-0.07,-0.12,0.15,3,709.6452487981165,-1183.143800536858,56.2883794277361,77.02113211814931,254,35.712076355441646,1
60,2,-0.07,-0.08,0.12,5,703.6670346133728,-1189.1220147216018,52.588479001542474,60.59825101176492,252,38.30027885701605,0
141,3,-0.07,-0.08,0.12,5,703.525444651239,-1189.2636046837356,50.8918619611031,57.473463107433496,224,38.62836438923396,0
25,2,-0.05,-0.12,0.15,1,688.1514144368521,-1204.6376348981225,55.124477443618964,70.20382664753522,357,37.38468992248062,0
61,2,-0.07,-0.08,0.15,1,676.9592350792119,-1215.8298142557626,53.518123807558965,68.23806747903744,327,37.35202869213167,0
152,3,-0.07,-0.1,0.15,3,671.6972633493185,-1221.091785985656,52.86343622214916,66.52895513099743,230,39.09211215932914,1
