symbol,method,return_pct,cagr_pct,mdd_pct,sharpe,trades,win_rate_pct,alpha_vs_bnh_pctp
BTC,B&H,208.55603615066164,25.125864718969517,76.62925431645935,0.5608625971250127,1,100.0,0.0
BTC,MLP(current),12.166642222963873,2.3348379364646066,46.14883134432596,0.19611400050622205,42,42.857142857142854,-196.38939392769777
BTC,RegimeLongSwing_v2_best,74.2373814074276,11.67916365451025,43.5941093212257,0.40121901474484384,44,31.818181818181817,-134.31865474323405
ETH,B&H,230.6987132932294,26.522058137490447,79.35130756288558,0.574968732297011,1,100.0,0.0
ETH,MLP(current),71.94340527522188,11.24936904078535,48.6607957646981,0.41207327355134377,97,48.45360824742268,-158.7553080180075
ETH,RegimeLongSwing_v2_best,38.54342074609667,6.622356809150598,55.26664380662799,0.3030450237240482,50,36.0,-192.15529254713272
SOL,B&H,5215.526058100316,118.19620223037828,96.27849002849003,1.0396605791426141,1,100.0,0.0
SOL,MLP(current),331.17029435648203,33.23753993269438,49.782289952302186,0.7749715509359302,128,32.03125,-4884.355763743833
SOL,RegimeLongSwing_v2_best,832.5483953192837,55.02984296008928,65.89297951742597,0.8402447706144913,66,37.878787878787875,-4382.977662781032
BNB,B&H,1916.3753897956915,80.37649597063819,70.86445315388596,0.9152424160258276,1,100.0,0.0
BNB,MLP(current),270.5302136075987,29.330347970913916,43.63788486839606,0.7749888944106532,60,53.333333333333336,-1645.8451761880929
BNB,RegimeLongSwing_v2_best,3066.3163511447406,97.09032278216301,47.12272314678166,1.1429715200154063,49,42.857142857142854,1149.940961349049
