timestamp,price,high,low,volume,rsi,volume_sma,volume_ratio,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_mid,bb_upper,bb_middle,bb_lower,bb_position,bb_width_pct,adx,plus_di,minus_di,mfi,atr,layer1_rsi_vote,layer1_volume_vote,layer1_macd_vote,layer2_ema_vote,layer2_bb_vote,layer2_adx_vote,layer3_day_vote,layer3_market_state,total_buy_votes,total_sell_votes,total_hold_votes,turn_of_candle,vote_boost_applied,hour,weekday,month,quarter,year,candle_idx
2020-04-10 13:00:00,8406000.0,8681000.0,8351000.0,2644.3855367,38.181942591144136,1061.3463679005047,2.4915386877245114,58280.90647210926,112028.20750257566,-53747.301030466406,8686417.11116538,8671968.797413174,,8953764.36282016,8760550.0,8567335.63717984,-0.4175042549243831,0.04411009875411011,29.511849403237466,14.951258472913997,30.420333569061192,47.58829414546341,,buy,buy,hold,buy,buy,hold,buy,SIDEWAYS,5,0,2,False,False,13,4,4,2,2020,570
2020-05-04 13:00:00,10616000.0,10680000.0,10451000.0,1609.90785818,50.03511772956066,1025.938673900505,1.5692047674344014,151687.00206202827,221480.87831474535,-69793.87625271708,10782482.267992547,10700928.45788604,,11054945.198570257,10788100.0,10521254.801429743,0.17752839301193538,0.049470286439735826,37.79371291223845,21.508505095762402,20.72683036999164,45.03856187532867,,hold,buy,hold,buy,buy,buy,buy,SIDEWAYS,5,0,2,False,False,13,0,5,2,2020,714
2020-06-24 17:00:00,11219000.0,11438000.0,11218000.0,1104.97266888,36.81287095789118,387.03016967200523,2.855003964720441,25778.559736831114,45753.53267863572,-19974.972941804604,11435535.221289068,11423119.812084844,,11668156.597975114,11420350.0,11172543.402024886,0.09373559532861934,0.04339737363130103,25.29026958344403,16.251171034167335,26.909149805955053,57.469380419854474,,buy,buy,hold,buy,buy,hold,buy,SIDEWAYS,5,0,2,False,False,17,2,6,2,2020,1021
2020-09-02 17:00:00,13500000.0,13808000.0,13282000.0,2026.63906925,38.44574277682716,679.9788477740042,2.9804442827662307,57138.07788195461,79913.81635478593,-22775.73847283132,13799333.613113683,13759697.903290752,,14075312.473380521,13767150.0,13458987.526619479,0.06654358807971807,0.04476779484214539,21.161482040502424,15.64080823850588,36.667209833876804,45.32488738738596,,buy,buy,hold,buy,buy,hold,buy,SIDEWAYS,5,0,2,False,False,17,2,9,3,2020,1441
2020-09-29 09:00:00,12422000.0,12688000.0,12399000.0,623.27473425,44.86398069673629,319.46991884200435,1.950965325653224,37065.86008939706,45881.806286107036,-8815.946196709978,12537154.286419865,12507315.47131309,,12683080.232607089,12517350.0,12351619.767392911,0.21233371696866407,0.026480082862121612,23.81927481257782,21.910549375863855,20.988345458323497,52.740398672643174,,hold,buy,hold,buy,buy,buy,buy,SIDEWAYS,5,0,2,False,False,9,1,9,3,2020,1601
2020-11-09 21:00:00,16850000.0,17499000.0,16788000.0,1898.10538233,49.3412868845204,793.208268514005,2.3929470451510895,178211.70110131055,224545.51768192818,-46333.816580617626,17097501.729732208,16979578.457820043,,17621595.235628534,17110250.0,16598904.764371468,0.24552417636187815,0.05977063288128849,25.257477136501166,23.681068479213945,15.85390671925498,37.895780305600866,,hold,buy,hold,buy,buy,buy,buy,SIDEWAYS,5,0,2,False,False,21,0,11,4,2020,1850
2021-02-16 13:00:00,53865000.0,54955000.0,53439000.0,2721.38690544,69.09665802512221,1602.3117605179991,1.6984128635242768,962022.8789375424,918690.1295932784,43332.74934426404,52732793.0363494,51906506.46874445,,53865287.69815325,51891200.0,49917112.30184675,0.9999271313646504,0.07608564450824995,33.357027632342835,31.273460177212886,11.171149222537904,68.11464798800883,,hold,buy,buy,buy,hold,buy,buy,SIDEWAYS,5,0,2,False,False,13,1,2,1,2021,2442
2021-03-05 09:00:00,55300000.0,56437000.0,54500000.0,2786.96793556,46.00568188638497,1808.7592204479974,1.5408175416901082,379338.6517107487,574341.1628799869,-195002.51116923825,56381300.70372907,56134955.484857626,,58362185.30243761,56492750.0,54623314.69756239,0.1809865528791666,0.0661831935049227,29.23421664543906,19.45315166119635,17.646188522914386,41.32426342846296,,hold,buy,hold,buy,buy,buy,buy,SIDEWAYS,5,0,2,False,False,9,4,3,1,2021,2543
2021-04-07 17:00:00,70813000.0,76497000.0,70500000.0,4327.10628503,35.04466218740704,2056.374675387996,2.1042402130407307,518399.0086671263,1133654.3399505853,-615255.331283459,75706479.9318587,75644904.94649224,,80503243.55424717,75820900.0,71138556.44575283,-0.03476426302140194,0.12351062976691574,32.25723409734638,15.29222207123996,27.276080950850034,53.33783019713996,,buy,buy,hold,buy,buy,hold,buy,SIDEWAYS,5,0,2,False,False,17,2,4,2,2021,2743
2021-05-04 09:00:00,68030000.0,70490000.0,67601000.0,3203.03872247,50.500232308953564,1604.3239849724953,1.9965036691294702,1019844.8393610269,1179504.740029148,-159659.90066812118,69180738.39413446,68383191.48613593,,70545567.23010723,68880450.0,67215332.76989277,0.24462758999099682,0.048348035766526874,27.324579816424407,21.767497191484082,21.355043589852198,51.56175328089713,,hold,buy,hold,buy,buy,buy,buy,SIDEWAYS,5,0,2,False,False,9,1,5,2,2021,2903
2021-07-05 17:00:00,39076000.0,40283000.0,39010000.0,2088.80014432,39.95779265460481,989.7494521359943,2.1104332412734625,125963.73937996477,234816.51133707765,-108852.77195711288,40236594.19667621,40185512.58399469,,41729415.17855561,40091900.0,38454384.82144439,0.1898044020281729,0.08168808056268761,17.179200419954807,16.68539542344568,26.220341546712973,45.88866475936854,,buy,buy,hold,buy,buy,hold,buy,SIDEWAYS,5,0,2,False,False,17,0,7,3,2021,3277
